"Reference","Value","Qty","Manufacturer_Name","Manufacturer_Part_Number"
"C1","Condensateur 0805Y1000104JXT","1","Syfer","0805Y1000104JXT"
"CP1","Comparateur TS391ILT","1","STMicroelectronics","TS391ILT"
"F1","Fuse","1","",""
"J1","3P Droit 22-11-2032","1","",""
"J2","200241-1112","1","Molex","200241-1112"
"K1","SSR CPC1394GR","1","LITTELFUSE","CPC1394GR"
"PS1","Alim Iso PDM2-S5-S5-S","1","CUI Inc.","PDM2-S5-S5-S"
"R1","820k","1","KOA Speer","RK73H2BLTDD2152F"
"R2","1k2","1","KOA Speer","RK73H2BLTDD2152F"
"R3","1k","1","KOA Speer","RK73H2BLTDD2152F"
"R4","3k9","1","KOA Speer","RK73H2BLTDD2152F"
"R5","33k","1","KOA Speer","RK73H2BLTDD2152F"
"R6","2k7","1","KOA Speer","RK73H2BLTDD2152F"
"R7","2k","1","KOA Speer","RK73H2BLTDD2152F"
"R8,R9","8k2","2","KOA Speer","RK73H2BLTDD2152F"
"Z1","Zener TZM5224B-GS08","1","Vishay","TZM5224B-GS08"
