[Result Details]
Result Name;[53,67] Vehicle, FSAE Endurance Germany 2010
Date Created;9/23/2025 1:17:22 PM
Track;FSAE Endurance Germany 2010
Track Configuration;Closed Circuit
Vehicle;Vehicle

[KPI Values]
Lap time [s];53.67384525378;
Percent in Corners [%];98.1267914711298;
Percent Accelerating [%];64.3159240933736;
Percent Braking [%];34.9748944232586;
Percent Coasting [%];0.407090594699402;
Percent 100% Throttle [%];1.52264172353353;
Percent TCS Enabled [%];78.7294218006329;
Lowest Speed [km/h];30.3675001271538;
Highest Speed [km/h];98.7825263886066;
Average Speed [km/h];56.6594020104519;
Energy Spent [kJ];678.274734508709;
Fuel Consumption [kg];∞;
Gear Shifts [-];0;
Maximum Lateral Acceleration [m/s^2];13.4596887222097;
Maximum Longitudinal Acceleration [m/s^2];5.62328125027665;
Maximum Longitudinal Deceleration [m/s^2];-14.3477227184786;
Time in Sector 1 [s];53.67384525378;
Maximum Speed in Sector 1 [km/h];98.7825263886066;
Minimum Speed in Sector 1 [km/h];30.3675001271538;
Percent in Gear 1 [%];100;

[Vehicle Parameters]
Mass Longitudinal Friction [kg];0;
Vehicle Mass [kg];280;
Drag Coefficient [-];0.6;
Downforce Coefficient [-];0.7;
Aero Efficiency [-];1.16666666666667;
Frontal Area [m^2];1;
Drivetrain Efficiency [%];90;
Tire Rolling Radius [m];0.235;
Air Density [kg/m^3];1.225;
Rev Limit [rpm];20000;
Longitudinal Friction [-];1.2;
Lateral Friction [-];1.3;
Final Drive Ratio [-];13;
Fuel Energy Density [J/kg];0;
Engine Thermal Efficiency [%];0;
Tire Rolling Drag [-];0.02;
Power Scaling Factor [%];100;
Aero Scaling Factor [%];100;
Grip Scaling Factor [%];100;
Mass Lateral Friction [kg];0;
Load Sensitivity Lateral Friction [-];0;
Load Sensitivity Longitudinal Friction [-];0;
Gear Ratio Data [-];0;
Gear Shift Points [rpm];0;
Torque Data [N.m];0;
RPM Data [rpm];0;

[Vehicle KPIs]
Top Speed [km/h];136.296788971126;
Acceleration Time To Speed [27,778 km/h] [s];52.8258960049695;
Acceleration Time For Distance [100 m] [s];53.0732890487909;
Deceleration Time For Speed [27,778 km/h] [s];1.71597340900533;
Deceleration Distance For Speed [27,778 km/h] [m];22.5000000000001;

[Simulation Results]
speed;elapsedTime;elapsedDistance;lateralAcceleration;longitudinalAcceleration;gear;gearRatio;engineSpeed;torque;power;downForce;dragForce;tractionControl;throttlePosition;brakePosition;cornerRadius;sectorIndex;maximumCornerSpeed;loadSensitiveLatGrip;loadSensitiveLongGrip;yawangle;yawvelocity;yawacceleration;xposition;yposition;trackelevation;fz;
Speed (linear);Time;Length;Acceleration (linear);Acceleration (linear);Unitless;Unitless;Speed (angular);Torque;Power;Force;Force;Ratio;Ratio;Ratio;Length;Unitless;Speed (linear);Unitless;Unitless;Angle;Speed (angular);Acceleration (angular);Length;Length;Length;Force;
km/h;s;m;m/s^2;m/s^2;-;-;rpm;N.m;kW;N;N;%;%;%;m;-;km/h;-;-;deg;rpm;deg/s^2;m;m;m;N;
75.0514686208637;0.00529131462947094;0.1;0.855467963580555;5.49294500973631;1;13;11012.9474344055;64;66.9101306544096;186.344904432574;131.259326406173;0;5.34562984918803;0;26.5276703039584;1;68.0360222759982;1.3;1.2;0;0;0;0.105608350517692;-0.000210217628663301;0;2933.14490443257;
59.9381496884852;0.0113154570390996;0.199999999999999;10.4496694095785;-8.23566977827858;1;13;8795.24017270615;64;58.9462654146805;118.85180876844;101.872978944377;100;0;62.4625788517637;26.5276703039584;1;68.0360222759982;1.3;1.2;0.228843066007265;4.20822893064527;73.1531018257926;0.210863315857804;-0.0012529508601952;0;2865.65180876844;
59.7595434371863;0.0173578556820294;0.299999999999999;10.3874854570716;-8.30036515987625;1;13;8769.03174143684;64;58.7706148223865;118.144544744848;101.266752638442;98.5380284488106;0;63.0233537459269;26.5276703039584;1;68.0360222759982;1.3;1.2;0.457697030722549;5.59827985159461;24.0907296336694;0.316116607418293;-0.00187525216612559;0;2864.94454474485;
59.578988622546;0.0234188210581292;0.399999999999999;10.3248117111982;-8.36454873289624;1;13;8742.53738071078;64;58.5930479124803;117.431709939517;100.655751376729;98.0641457156019;0;63.5805011861926;26.5276703039584;1;68.0360222759982;1.3;1.2;0.686561883611659;6.04879806093638;7.78393434571587;0.421366551446062;-0.0020771315415767;0;2864.23170993952;
59.3964785576216;0.0294986690900352;0.499999999999999;10.2616520014479;-8.42821926878448;1;13;8715.75610929533;64;58.4135581086775;116.713347908061;100.040012492624;97.7226329576993;0;64.1340095628761;26.5276703039584;1;68.0360222759982;1.3;1.2;0.915437613954006;6.18599812833138;2.36314417475673;0.526611474241069;-0.00185860564490961;0;2863.51334790806;
59.2120063052199;0.0355977212888396;0.599999999999999;10.1980101660761;-8.49137551239247;1;13;8688.68690923652;64;58.2321385885851;115.989502305793;99.4195734049658;97.4501504721394;0;64.6838669571631;26.5276703039584;1;68.0360222759982;1.3;1.2;1.14432421085855;6.21861769568884;0.560072777611668;0.631849702182853;-0.00121969779746018;0;2862.78950230579;
59.0255646722569;0.0417163049256616;0.699999999999999;10.1338900522861;-8.55401618432964;1;13;8661.32872503124;64;58.0487822781534;115.260216889798;98.7944716198266;97.2217883970448;0;65.2300611600434;26.5276703039584;1;68.0360222759982;1.3;1.2;1.37322166324633;6.21623540988698;-0.0407728978803335;0.737079561757062;-0.000160437983169458;0;2862.0602168898;
58.8371462038205;0.0478547532093784;0.799999999999999;10.0692955163925;-8.61613998319045;1;13;8633.68046275614;64;57.8634818458377;114.52553552079;98.1647447321053;97.0246801630584;0;65.7725796902558;26.5276703039584;1;68.0360222759982;1.3;1.2;1.60212995986163;6.20204356673646;-0.24210782118362;0.84229937958197;0.00131913715189153;0;2861.32553552079;
