Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R28,25,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,109.5,-88.5,180.0,top
R29,100,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,117.0,-86.5,0.0,top
R3,374k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,147.288,-68.25,0.0,top
R30,3.3K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,123.0,-88.5,0.0,top
R31,25,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,109.55,-84.0,180.0,top
R32,100,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,117.0,-82.5,0.0,top
R33,3.3K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,123.0,-84.5,0.0,top
R34,25,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,109.55,-79.5,180.0,top
R35,100,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,117.0,-78.5,0.0,top
R36,3.3K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,123.0,-80.5,0.0,top
R37,25,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,109.55,-75.0,180.0,top
R38,100,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,117.0,-74.5,0.0,top
R39,3.3K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,123.0,-76.5,0.0,top
R4,470,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,135.112465,-70.768955,0.0,top
R40,25,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,109.55,-70.5,180.0,top
R41,100,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,116.95,-70.5,0.0,top
R42,3.3K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,123.0,-72.5,0.0,top
R43,25,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,109.55,-66.0,180.0,top
R44,100,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,117.0,-66.5,0.0,top
R45,3.3K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,123.0,-68.5,0.0,top
R46,25,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,109.55,-115.5,180.0,top
R47,100,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,117.0,-114.5,0.0,top
R48,3.3K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,123.0,-112.5,0.0,top
R49,1k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,150.5,-94.5,90.0,top
R5,4.7k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,180.0,-86.0,-90.0,top
R50,1k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,155.5,-97.55,-90.0,top
R51,100,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,138.0,-88.5,-90.0,top
R52,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,185.633538,-88.818599,180.0,top
R6,4.7k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,178.5,-81.5,0.0,top
R68,25,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,156.55,-112.0,0.0,top
R69,100,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,173.95,-101.5,180.0,top
R7,100,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,173.0,-97.0,180.0,top
R70,3.3K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,173.2,-111.3,90.0,top
R8,51,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,149.5,-90.0,0.0,top
R9,51,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,156.5,-89.8,0.0,top
T1,SM91501ALE,SOP200P1473X500-12N,159.5,-79.5,-90.0,top
U1,ADBMS1818ASWZ,05-08-1982_ADI,145.25,-106.6769,-90.0,top
U2,MAX4239AUT,SOT-23-6,180.1,-90.4,180.0,top
