"Reference","Value","Qty","Manufacturer_Name","Manufacturer_Part_Number","Description"
"C1","C","1","","",""
"C2,C3,C4,C5","10n","4","Syfer","0805Y1000104JXT","Syfer 0805 Ceramic Chip Capacitors"
"G1,G2","Gate AND SN74AHCT1G08DBVR","2","Texas Instruments","SN74AHCT1G08DBVR","SN74AHCT1G08DBVR, Logic Gate 2 Input AND, AHCT, 8mA 5V 5-Pin SOT-23"
"J1","3P Droit 22-11-2032","1","Molex","22-11-2032",""
"J3","2P Droit 22-11-2022","1","Molex","22-11-2022",""
"K2","Relais PCB","1","Panasonic","CP1-12V","PANASONIC ELECTRIC WORKS - CP1-12V - RELAY, AUTOMOTIVE, SPDT, 14VDC, 20A"
"Q1","NMOS SQ2348ES-T1_GE3","1","Vishay","SQ2348ES-T1_GE3","VISHAY - SQ2348ES-T1_GE3 - MOSFET, AEC-Q101, N-CH, 30V, SOT-23"
"R1","500k","1","KOA Speer","RK73H2BLTDD2152F","Thick Film Resistors - SMD"
"R2,R7","82k","2","KOA Speer","RK73H2BLTDD2152F","Thick Film Resistors - SMD"
"R3","10k","1","KOA Speer","RK73H2BLTDD2152F","Thick Film Resistors - SMD"
"R4","1k","1","KOA Speer","RK73H2BLTDD2152F","Thick Film Resistors - SMD"
"R5,R6","12k","2","KOA Speer","RK73H2BLTDD2152F","Thick Film Resistors - SMD"
"U1","Alim LP TSR_0.5-2450","1","Traco Power","TSR 0.5-2450","0.5 Amp POL switching regulator, 4.75 to -32 VDC input, pos.-pos. circuit, LM78 compatible, SIP-3"
"U2","","1","Texas Instruments","TLV9061QDCKRQ1","Operational amplifier, single, node sequence=1:+ 2:- 3:OUT 4:V+ 5:V-"
"U3","Opamp_Dual","1","Texas Instruments","LMV393IPWR","Dual comparator"
