Ref,Val,Package,PosX,PosY,Rot,Side
"R10","Résistance RK73H2BLTDD2152F","RESC3216X70N",124.310596,-69.965901,0.000000,top
"R11","Résistance RK73H2BLTDD2152F","RESC3216X70N",107.901251,-34.026853,90.000000,top
"R12","Résistance RK73H2BLTDD2152F","RESC3216X70N",129.540000,-74.165346,90.000000,top
"R13","Résistance RK73H2BLTDD2152F","RESC3216X70N",94.881230,-61.757242,0.000000,top
"R14","Résistance RK73H2BLTDD2152F","RESC3216X70N",122.401448,-74.868622,-90.000000,top
"R15","Résistance RK73H2BLTDD2152F","RESC3216X70N",115.600534,-48.466577,0.000000,top
"R16","Résistance RK73H2BLTDD2152F","RESC3216X70N",140.492983,-43.560504,-90.000000,top
"R17","Résistance RK73H2BLTDD2152F","RESC3216X70N",91.450664,-33.343333,-90.000000,top
"R18","Résistance RK73H2BLTDD2152F","RESC3216X70N",68.342051,-33.809679,-90.000000,top
"R19","Résistance RK73H2BLTDD2152F","RESC3216X70N",103.900997,-64.042618,0.000000,top
"R20","Résistance RK73H2BLTDD2152F","RESC3216X70N",103.818656,-56.560801,180.000000,top
"R21","Résistance RK73H2BLTDD2152F","RESC3216X70N",103.756325,-53.901202,0.000000,top
"R22","Résistance RK73H2BLTDD2152F","RESC3216X70N",78.856444,-33.432000,-90.000000,top
"R23","Résistance RK73H2BLTDD2152F","RESC3216X70N",130.123440,-57.785826,0.000000,top
"R24","Résistance RK73H2BLTDD2152F","RESC3216X70N",136.846350,-57.706687,180.000000,top
"R25","Résistance RK73H2BLTDD2152F","RESC3216X70N",91.440000,-45.720000,-90.000000,top
"R26","Résistance RK73H2BLTDD2152F","RESC3216X70N",66.040000,-45.720000,-90.000000,top
"R27","Résistance RK73H2BLTDD2152F","RESC3216X70N",78.740000,-45.720000,-90.000000,top
"R28","Résistance RK73H2BLTDD2152F","RESC3216X70N",55.043256,-71.850787,90.000000,top
"R29","Résistance RK73H2BLTDD2152F","RESC3216X70N",75.557783,-72.742395,90.000000,top
"R30","Résistance RK73H2BLTDD2152F","RESC3216X70N",90.153147,-76.199999,-90.000000,top
"RV1","Varystor 3296Y-1-223LF","3296Y1223LF",94.382464,-74.272704,180.000000,top
"TI1","Timer 555 LM555CMX_NOPB","DIP-8_W7.62mm_Socket",136.625790,-54.400453,180.000000,top
