"Source:","C:\AA_ECL\EPSA\Saison 2023\Git Cloning\ELIZ-2022\Cartes\TSAL\TSAL\TSAL.kicad_sch"
"Date:","04/12/2022 22:20:06"
"Tool:","Eeschema (6.0.8)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","61"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Description","Height","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","PARTREV","Render Name","STANDARD","Spice_Lib_File","Spice_Model","Spice_Netlist_Enabled","Spice_Node_Sequence","Spice_Primitive"
"","","G2","Gate AND SN74AHCT1G08DBVR","EPSA_lib:Gate AND SN74AHCT1G08DBVR","EPSA_lib:SOT95P280X145-5N","https://datasheet.datasheetarchive.com/originals/distributors/SFDatasheet-6/sf-000128638.pdf","SN74AHCT1G08DBVR","https://www.arrow.com/en/products/sn74ahct1g08dbvr/texas-instruments?region=nac","SN74AHCT1G08DBVR, Logic Gate 2 Input AND, AHCT, 8mA 5V 5-Pin SOT-23","1.45","","","Texas Instruments","SN74AHCT1G08DBVR","595-SN74AHCT1G08DBVR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74AHCT1G08DBVR?qs=8Pd2FuFSoMGY9AK%2Ftqwbcw%3D%3D","","Gate AND","","${EPSA}\SpiceModel\AND_SN74AHC1G08.lib","SN74AHC1G08","Y","4,1,2,5,3","X"
"","","G3","Gate XOR SN74AHCT1G86DBVR","EPSA_lib:Gate XOR SN74AHCT1G86DBVR","EPSA_lib:SOT95P280X145-5N","http://www.ti.com/lit/gpn/sn74ahct1g86","SN74AHCT1G86DBVR","https://www.arrow.com/en/products/sn74ahct1g86dbvr/texas-instruments","TEXAS INSTRUMENTS - SN74AHCT1G86DBVR - IC, SINGLE XOR GATE, 2I/P, SOT-23-5,REEL","1.45","","","Texas Instruments","SN74AHCT1G86DBVR","595-SN74AHCT1G86DBVR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74AHCT1G86DBVR?qs=mTHRaKC2c7PDlak%2Fu%252BIXNw%3D%3D","","Gate XOR","","${EPSA}\SpiceModel\XOR_SN74AHCT1G86.lib","SN74AHCT1G86","Y","4,1,2,5,3","X"
"","","G4","Gate XOR SN74AHCT1G86DBVR","EPSA_lib:Gate XOR SN74AHCT1G86DBVR","EPSA_lib:SOT95P280X145-5N","http://www.ti.com/lit/gpn/sn74ahct1g86","SN74AHCT1G86DBVR","https://www.arrow.com/en/products/sn74ahct1g86dbvr/texas-instruments","TEXAS INSTRUMENTS - SN74AHCT1G86DBVR - IC, SINGLE XOR GATE, 2I/P, SOT-23-5,REEL","1.45","","","Texas Instruments","SN74AHCT1G86DBVR","595-SN74AHCT1G86DBVR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74AHCT1G86DBVR?qs=mTHRaKC2c7PDlak%2Fu%252BIXNw%3D%3D","","Gate XOR","","${EPSA}\SpiceModel\XOR_SN74AHCT1G86.lib","SN74AHCT1G86","Y","4,1,2,5,3","X"
"","","G5","Gate XOR SN74AHCT1G86DBVR","EPSA_lib:Gate XOR SN74AHCT1G86DBVR","EPSA_lib:SOT95P280X145-5N","http://www.ti.com/lit/gpn/sn74ahct1g86","SN74AHCT1G86DBVR","https://www.arrow.com/en/products/sn74ahct1g86dbvr/texas-instruments","TEXAS INSTRUMENTS - SN74AHCT1G86DBVR - IC, SINGLE XOR GATE, 2I/P, SOT-23-5,REEL","1.45","","","Texas Instruments","SN74AHCT1G86DBVR","595-SN74AHCT1G86DBVR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74AHCT1G86DBVR?qs=mTHRaKC2c7PDlak%2Fu%252BIXNw%3D%3D","","Gate XOR","","${EPSA}\SpiceModel\XOR_SN74AHCT1G86.lib","SN74AHCT1G86","Y","4,1,2,5,3","X"
"","","G6","Gate NAND SN74AHCT1G00DBVR","EPSA_lib:Gate NAND SN74AHCT1G00DBVR","EPSA_lib:SOT95P280X145-5N","http://www.ti.com/lit/gpn/sn74ahct1g00","SN74AHCT1G00DBVR","https://www.arrow.com/en/products/sn74ahct1g00dbvr/texas-instruments","Single 2-Input Positive-NAND Gate","1.45","","","Texas Instruments","SN74AHCT1G00DBVR","595-SN74AHCT1G00DBVR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74AHCT1G00DBVR?qs=w32V8uFkMxnwwXcMH%2F61Dg%3D%3D","","Gate NAND","","${EPSA}\SpiceModel\NAND_SN74AHCT1G00.lib","SN74AHCT1G00","Y","4,1,2,5,3","X"
"","","G7","Gate AND SN74AHCT1G08DBVR","EPSA_lib:Gate AND SN74AHCT1G08DBVR","EPSA_lib:SOT95P280X145-5N","https://datasheet.datasheetarchive.com/originals/distributors/SFDatasheet-6/sf-000128638.pdf","SN74AHCT1G08DBVR","https://www.arrow.com/en/products/sn74ahct1g08dbvr/texas-instruments?region=nac","SN74AHCT1G08DBVR, Logic Gate 2 Input AND, AHCT, 8mA 5V 5-Pin SOT-23","1.45","","","Texas Instruments","SN74AHCT1G08DBVR","595-SN74AHCT1G08DBVR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74AHCT1G08DBVR?qs=8Pd2FuFSoMGY9AK%2Ftqwbcw%3D%3D","","Gate AND","","${EPSA}\SpiceModel\AND_SN74AHC1G08.lib","SN74AHC1G08","Y","4,1,2,5,3","X"
"","","G8","Gate AND SN74AHCT1G08DBVR","EPSA_lib:Gate AND SN74AHCT1G08DBVR","EPSA_lib:SOT95P280X145-5N","https://datasheet.datasheetarchive.com/originals/distributors/SFDatasheet-6/sf-000128638.pdf","SN74AHCT1G08DBVR","https://www.arrow.com/en/products/sn74ahct1g08dbvr/texas-instruments?region=nac","SN74AHCT1G08DBVR, Logic Gate 2 Input AND, AHCT, 8mA 5V 5-Pin SOT-23","1.45","","","Texas Instruments","SN74AHCT1G08DBVR","595-SN74AHCT1G08DBVR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74AHCT1G08DBVR?qs=8Pd2FuFSoMGY9AK%2Ftqwbcw%3D%3D","","Gate AND","","${EPSA}\SpiceModel\AND_SN74AHC1G08.lib","SN74AHC1G08","Y","4,1,2,5,3","X"
"","","G9","Gate AND SN74AHCT1G08DBVR","EPSA_lib:Gate AND SN74AHCT1G08DBVR","EPSA_lib:SOT95P280X145-5N","https://datasheet.datasheetarchive.com/originals/distributors/SFDatasheet-6/sf-000128638.pdf","SN74AHCT1G08DBVR","https://www.arrow.com/en/products/sn74ahct1g08dbvr/texas-instruments?region=nac","SN74AHCT1G08DBVR, Logic Gate 2 Input AND, AHCT, 8mA 5V 5-Pin SOT-23","1.45","","","Texas Instruments","SN74AHCT1G08DBVR","595-SN74AHCT1G08DBVR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74AHCT1G08DBVR?qs=8Pd2FuFSoMGY9AK%2Ftqwbcw%3D%3D","","Gate AND","","${EPSA}\SpiceModel\AND_SN74AHC1G08.lib","SN74AHC1G08","Y","4,1,2,5,3","X"
"","","G10","Gate NAND SN74AHCT1G00DBVR","EPSA_lib:Gate NAND SN74AHCT1G00DBVR","EPSA_lib:SOT95P280X145-5N","http://www.ti.com/lit/gpn/sn74ahct1g00","SN74AHCT1G00DBVR","https://www.arrow.com/en/products/sn74ahct1g00dbvr/texas-instruments","Single 2-Input Positive-NAND Gate","1.45","","","Texas Instruments","SN74AHCT1G00DBVR","595-SN74AHCT1G00DBVR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74AHCT1G00DBVR?qs=w32V8uFkMxnwwXcMH%2F61Dg%3D%3D","","Gate NAND","","${EPSA}\SpiceModel\NAND_SN74AHCT1G00.lib","SN74AHCT1G00","Y","4,1,2,5,3","X"
"","","J1","2P Droit 2-11-2022","EPSA_lib:2P Droit 2-11-2022","EPSA_lib:MOLEX_22-11-2022","","","","","","Molex","10.66mm","","","","","BD8","2P Droit","Manufacturer Recommendations","","22-11-2022","N","","J"
