"Source:","C:\AA_ECL\EPSA\Saison 2023\Git Cloning\ELIZ-2022\Cartes\TSAL\TSAL\TSAL.kicad_sch"
"Date:","04/12/2022 22:20:06"
"Tool:","Eeschema (6.0.8)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","61"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Description","Height","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","PARTREV","Render Name","STANDARD","Spice_Lib_File","Spice_Model","Spice_Netlist_Enabled","Spice_Node_Sequence","Spice_Primitive"
"","","R9","Résistance RK73H2BLTDD2152F","EPSA_lib:Résistance RK73H2BLTDD2152F","EPSA_lib:RESC3216X70N","http://www.koaspeer.com/catimages/Products/RK73H/RK73H.pdf","","","Thick Film Resistors - SMD","0.7","","","KOA Speer","RK73H2BLTDD2152F","N/A","https://www.mouser.co.uk/ProductDetail/KOA-Speer/RK73H2BLTDD2152F?qs=WeIALVmW3zmyxMFsjVzMRw%3D%3D","","Résistance","","","5k","N","","R"
"","","R10","Résistance RK73H2BLTDD2152F","EPSA_lib:Résistance RK73H2BLTDD2152F","EPSA_lib:RESC3216X70N","http://www.koaspeer.com/catimages/Products/RK73H/RK73H.pdf","","","Thick Film Resistors - SMD","0.7","","","KOA Speer","RK73H2BLTDD2152F","N/A","https://www.mouser.co.uk/ProductDetail/KOA-Speer/RK73H2BLTDD2152F?qs=WeIALVmW3zmyxMFsjVzMRw%3D%3D","","Résistance","","","5k","Y","","R"
"","","R11","Résistance RK73H2BLTDD2152F","EPSA_lib:Résistance RK73H2BLTDD2152F","EPSA_lib:RESC3216X70N","http://www.koaspeer.com/catimages/Products/RK73H/RK73H.pdf","","","Thick Film Resistors - SMD","0.7","","","KOA Speer","RK73H2BLTDD2152F","N/A","https://www.mouser.co.uk/ProductDetail/KOA-Speer/RK73H2BLTDD2152F?qs=WeIALVmW3zmyxMFsjVzMRw%3D%3D","","Résistance","","","14k","Y","","R"
"","","R12","Résistance RK73H2BLTDD2152F","EPSA_lib:Résistance RK73H2BLTDD2152F","EPSA_lib:RESC3216X70N","http://www.koaspeer.com/catimages/Products/RK73H/RK73H.pdf","","","Thick Film Resistors - SMD","0.7","","","KOA Speer","RK73H2BLTDD2152F","N/A","https://www.mouser.co.uk/ProductDetail/KOA-Speer/RK73H2BLTDD2152F?qs=WeIALVmW3zmyxMFsjVzMRw%3D%3D","","Résistance","","","600k","Y","","R"
"","","R13","Résistance RK73H2BLTDD2152F","EPSA_lib:Résistance RK73H2BLTDD2152F","EPSA_lib:RESC3216X70N","http://www.koaspeer.com/catimages/Products/RK73H/RK73H.pdf","","","Thick Film Resistors - SMD","0.7","","","KOA Speer","RK73H2BLTDD2152F","N/A","https://www.mouser.co.uk/ProductDetail/KOA-Speer/RK73H2BLTDD2152F?qs=WeIALVmW3zmyxMFsjVzMRw%3D%3D","","Résistance","","","10k","Y","","R"
"","","R14","Résistance RK73H2BLTDD2152F","EPSA_lib:Résistance RK73H2BLTDD2152F","EPSA_lib:RESC3216X70N","http://www.koaspeer.com/catimages/Products/RK73H/RK73H.pdf","","","Thick Film Resistors - SMD","0.7","","","KOA Speer","RK73H2BLTDD2152F","N/A","https://www.mouser.co.uk/ProductDetail/KOA-Speer/RK73H2BLTDD2152F?qs=WeIALVmW3zmyxMFsjVzMRw%3D%3D","","Résistance","","","500k","Y","","R"
"","","R15","Résistance RK73H2BLTDD2152F","EPSA_lib:Résistance RK73H2BLTDD2152F","EPSA_lib:RESC3216X70N","http://www.koaspeer.com/catimages/Products/RK73H/RK73H.pdf","","","Thick Film Resistors - SMD","0.7","","","KOA Speer","RK73H2BLTDD2152F","N/A","https://www.mouser.co.uk/ProductDetail/KOA-Speer/RK73H2BLTDD2152F?qs=WeIALVmW3zmyxMFsjVzMRw%3D%3D","","Résistance","","","14k","Y","","R"
"","","R16","Résistance RK73H2BLTDD2152F","EPSA_lib:Résistance RK73H2BLTDD2152F","EPSA_lib:RESC3216X70N","http://www.koaspeer.com/catimages/Products/RK73H/RK73H.pdf","","","Thick Film Resistors - SMD","0.7","","","KOA Speer","RK73H2BLTDD2152F","N/A","https://www.mouser.co.uk/ProductDetail/KOA-Speer/RK73H2BLTDD2152F?qs=WeIALVmW3zmyxMFsjVzMRw%3D%3D","","Résistance","","","10k","Y","","R"
"","","R17","Résistance RK73H2BLTDD2152F","EPSA_lib:Résistance RK73H2BLTDD2152F","EPSA_lib:RESC3216X70N","http://www.koaspeer.com/catimages/Products/RK73H/RK73H.pdf","","","Thick Film Resistors - SMD","0.7","","","KOA Speer","RK73H2BLTDD2152F","N/A","https://www.mouser.co.uk/ProductDetail/KOA-Speer/RK73H2BLTDD2152F?qs=WeIALVmW3zmyxMFsjVzMRw%3D%3D","","Résistance","","","14k","Y","","R"
"","","R18","Résistance RK73H2BLTDD2152F","EPSA_lib:Résistance RK73H2BLTDD2152F","EPSA_lib:RESC3216X70N","http://www.koaspeer.com/catimages/Products/RK73H/RK73H.pdf","","","Thick Film Resistors - SMD","0.7","","","KOA Speer","RK73H2BLTDD2152F","N/A","https://www.mouser.co.uk/ProductDetail/KOA-Speer/RK73H2BLTDD2152F?qs=WeIALVmW3zmyxMFsjVzMRw%3D%3D","","Résistance","","","10k","Y","","R"
"","","R19","Résistance RK73H2BLTDD2152F","EPSA_lib:Résistance RK73H2BLTDD2152F","EPSA_lib:RESC3216X70N","http://www.koaspeer.com/catimages/Products/RK73H/RK73H.pdf","","","Thick Film Resistors - SMD","0.7","","","KOA Speer","RK73H2BLTDD2152F","N/A","https://www.mouser.co.uk/ProductDetail/KOA-Speer/RK73H2BLTDD2152F?qs=WeIALVmW3zmyxMFsjVzMRw%3D%3D","","Résistance","","","10k","Y","","R"
"","","R20","Résistance RK73H2BLTDD2152F","EPSA_lib:Résistance RK73H2BLTDD2152F","EPSA_lib:RESC3216X70N","http://www.koaspeer.com/catimages/Products/RK73H/RK73H.pdf","","","Thick Film Resistors - SMD","0.7","","","KOA Speer","RK73H2BLTDD2152F","N/A","https://www.mouser.co.uk/ProductDetail/KOA-Speer/RK73H2BLTDD2152F?qs=WeIALVmW3zmyxMFsjVzMRw%3D%3D","","Résistance","","","390k","Y","","R"
"","","R21","Résistance RK73H2BLTDD2152F","EPSA_lib:Résistance RK73H2BLTDD2152F","EPSA_lib:RESC3216X70N","http://www.koaspeer.com/catimages/Products/RK73H/RK73H.pdf","","","Thick Film Resistors - SMD","0.7","","","KOA Speer","RK73H2BLTDD2152F","N/A","https://www.mouser.co.uk/ProductDetail/KOA-Speer/RK73H2BLTDD2152F?qs=WeIALVmW3zmyxMFsjVzMRw%3D%3D","","Résistance","","","390k","Y","","R"
"","","R22","Résistance RK73H2BLTDD2152F","EPSA_lib:Résistance RK73H2BLTDD2152F","EPSA_lib:RESC3216X70N","http://www.koaspeer.com/catimages/Products/RK73H/RK73H.pdf","","","Thick Film Resistors - SMD","0.7","","","KOA Speer","RK73H2BLTDD2152F","N/A","https://www.mouser.co.uk/ProductDetail/KOA-Speer/RK73H2BLTDD2152F?qs=WeIALVmW3zmyxMFsjVzMRw%3D%3D","","Résistance","","","1k","Y","","R"
"","","R23","Résistance RK73H2BLTDD2152F",":Résistance RK73H2BLTDD2152F_1","EPSA_lib:RESC3216X70N","http://www.koaspeer.com/catimages/Products/RK73H/RK73H.pdf","","","Thick Film Resistors - SMD","0.7","","","KOA Speer","RK73H2BLTDD2152F","N/A","https://www.mouser.co.uk/ProductDetail/KOA-Speer/RK73H2BLTDD2152F?qs=WeIALVmW3zmyxMFsjVzMRw%3D%3D","","Résistance","","","2k","Y","","R"
"","","R24","Résistance RK73H2BLTDD2152F",":Résistance RK73H2BLTDD2152F_2","EPSA_lib:RESC3216X70N","http://www.koaspeer.com/catimages/Products/RK73H/RK73H.pdf","","","Thick Film Resistors - SMD","0.7","","","KOA Speer","RK73H2BLTDD2152F","N/A","https://www.mouser.co.uk/ProductDetail/KOA-Speer/RK73H2BLTDD2152F?qs=WeIALVmW3zmyxMFsjVzMRw%3D%3D","","Résistance","","","200k","Y","","R"
"","","RV1","Varystor 3296Y-1-223LF","EPSA_lib:Varystor 3296Y-1-223LF","EPSA_lib:3296Y1223LF","https://www.bourns.com/docs/Product-Datasheets/3296.pdf","3296Y-1-223LF","https://www.arrow.com/en/products/3296y-1-223lf/bourns","Bourns 3296Y Series 25-Turn Through Hole Cermet Trimmer Resistor with Solder Pin Terminations, 22k +/-10% 0.5W +/-100ppm/C","11.8","","","Bourns","3296Y-1-223LF","652-3296Y-1-223LF","https://www.mouser.co.uk/ProductDetail/Bourns/3296Y-1-223LF?qs=RUdTbCszRyG%2Fz0rQkQfbLg%3D%3D","","Varystor","","${EPSA}\SpiceModel\VARYSTOR.lib","VARYSTOR Rtot=20k Part=0.78","Y","","X"
"","","TI1","Timer 555 LM555CMX_NOPB","EPSA_lib:Timer 555 LM555CMX_NOPB","EPSA_lib:SOIC127P600X175-8N","http://www.ti.com/lit/ds/symlink/lm555.pdf","LM555CMX/NOPB","https://www.arrow.com/en/products/lm555cmxnopb/texas-instruments?region=nac","Highly stable 555 timer for generating accurate time delays and oscillation","1.75","","","Texas Instruments","LM555CMX/NOPB","926-LM555CMX/NOPB","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/LM555CMX-NOPB?qs=QbsRYf82W3GHnQuoL%2FmIoA%3D%3D","","Timer","","${EPSA}\SpiceModel\555_TLC555.lib","TLC555","Y","6,5,2,4,3,7,8,1","X"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Description","Height","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","PARTREV","Render Name","STANDARD","Spice_Lib_File","Spice_Model","Spice_Netlist_Enabled","Spice_Node_Sequence","Spice_Primitive"
"1","5","C1, C2, C3, C4, C5","Condensateur 0805Y1000104JXT","EPSA_lib:Condensateur 0805Y1000104JXT","EPSA_lib:CAPC2012X130N","http://docs-europe.electrocomponents.com/webdocs/119d/0900766b8119d7bc.pdf","0805Y1000104JXT","https://www.arrow.com/en/products/0805y1000104jxt/syfer-technology?region=europe","Syfer 0805 Ceramic Chip Capacitors","1.3","","","Syfer","0805Y1000104JXT","","","","Condensateur","","","1u","Y","","C"
"2","1","C6","Condensateur 0805Y1000104JXT",":Condensateur 0805Y1000104JXT_1","EPSA_lib:CAPC2012X130N","http://docs-europe.electrocomponents.com/webdocs/119d/0900766b8119d7bc.pdf","0805Y1000104JXT","https://www.arrow.com/en/products/0805y1000104jxt/syfer-technology?region=europe","Syfer 0805 Ceramic Chip Capacitors","1.3","","","Syfer","0805Y1000104JXT","","","","Condensateur","","","0.01u","Y","","C"
"3","1","CP1","Comparateur Double LM393LVDR","EPSA_lib:Comparateur Double LM393LVDR","EPSA_lib:SOIC127P600X175-8N","https://www.ti.com/lit/ds/symlink/lm393lv.pdf?ts=1609509320428&ref_url=https%253A%252F%252Feu.mouser.com%252F","LM393LVDR","https://www.arrow.com/en/products/lm393lvdr/texas-instruments","Analog Comparators 1.65-V to 5.5-V, low voltage dual commodity comparator","1.75","","","Texas Instruments","LM393LVDR","595-LM393LVDR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/LM393LVDR?qs=zW32dvEIR3vk5%2FzEI25KTQ%3D%3D","","Comparateur Double","","${EPSA}\SpiceModel\CD_lm393.lib","LM2903B_Dual","Y","","X"
"4","1","CP2","Comparateur TS391ILT","EPSA_lib:Comparateur TS391ILT","EPSA_lib:SOT95P280X145-5N","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00001660.pdf","TS391ILT","https://www.arrow.com/en/products/ts391ilt/stmicroelectronics?region=europe","TS391ILT, Comparator Open Collector 0.3us 12 V, 15 V, 18 V, 24 V, 28 V, 3 V, 5 V, 9 V 5-Pin SOT-23","1.45","","","STMicroelectronics","TS391ILT","511-TS391IL","https://www.mouser.co.uk/ProductDetail/STMicroelectronics/TS391ILT?qs=P8h1tZw8GcB9GWR61XM17g%3D%3D","","Comparateur","","${EPSA}\SpiceModel\C_ts391.lib","TS391","Y","4,3,5,2,1","X"
"5","1","DL1","Bascule D SN74HCS72QDRQ1","EPSA_lib:Bascule D SN74HCS72QDRQ1","EPSA_lib:SOIC127P600X175-14N","http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fsn74hcs72-q1","SN74HCS72QDRQ1","https://www.arrow.com/en/products/sn74hcs72qdrq1/texas-instruments?region=nac","Flip-Flops Automotive Schmitt-trigger input dual D-type negative-edge-triggered flip-flops w/ clear and preset 14-SOIC -40 to 125","1.75","","","Texas Instruments","SN74HCS72QDRQ1","595-SN74HCS72QDRQ1","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74HCS72QDRQ1?qs=Cb2nCFKsA8rdYGfO8j6PMA%3D%3D","","Bascule","","${EPSA}\SpiceModel\BD_SN74HCS72.lib","SN74HCS72_Double","Y","","X"
"6","5","G1, G2, G7, G8, G9","Gate AND SN74AHCT1G08DBVR","EPSA_lib:Gate AND SN74AHCT1G08DBVR","EPSA_lib:SOT95P280X145-5N","https://datasheet.datasheetarchive.com/originals/distributors/SFDatasheet-6/sf-000128638.pdf","SN74AHCT1G08DBVR","https://www.arrow.com/en/products/sn74ahct1g08dbvr/texas-instruments?region=nac","SN74AHCT1G08DBVR, Logic Gate 2 Input AND, AHCT, 8mA 5V 5-Pin SOT-23","1.45","","","Texas Instruments","SN74AHCT1G08DBVR","595-SN74AHCT1G08DBVR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74AHCT1G08DBVR?qs=8Pd2FuFSoMGY9AK%2Ftqwbcw%3D%3D","","Gate AND","","${EPSA}\SpiceModel\AND_SN74AHC1G08.lib","SN74AHC1G08","Y","4,1,2,5,3","X"
"7","3","G3, G4, G5","Gate XOR SN74AHCT1G86DBVR","EPSA_lib:Gate XOR SN74AHCT1G86DBVR","EPSA_lib:SOT95P280X145-5N","http://www.ti.com/lit/gpn/sn74ahct1g86","SN74AHCT1G86DBVR","https://www.arrow.com/en/products/sn74ahct1g86dbvr/texas-instruments","TEXAS INSTRUMENTS - SN74AHCT1G86DBVR - IC, SINGLE XOR GATE, 2I/P, SOT-23-5,REEL","1.45","","","Texas Instruments","SN74AHCT1G86DBVR","595-SN74AHCT1G86DBVR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74AHCT1G86DBVR?qs=mTHRaKC2c7PDlak%2Fu%252BIXNw%3D%3D","","Gate XOR","","${EPSA}\SpiceModel\XOR_SN74AHCT1G86.lib","SN74AHCT1G86","Y","4,1,2,5,3","X"
"8","2","G6, G10","Gate NAND SN74AHCT1G00DBVR","EPSA_lib:Gate NAND SN74AHCT1G00DBVR","EPSA_lib:SOT95P280X145-5N","http://www.ti.com/lit/gpn/sn74ahct1g00","SN74AHCT1G00DBVR","https://www.arrow.com/en/products/sn74ahct1g00dbvr/texas-instruments","Single 2-Input Positive-NAND Gate","1.45","","","Texas Instruments","SN74AHCT1G00DBVR","595-SN74AHCT1G00DBVR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74AHCT1G00DBVR?qs=w32V8uFkMxnwwXcMH%2F61Dg%3D%3D","","Gate NAND","","${EPSA}\SpiceModel\NAND_SN74AHCT1G00.lib","SN74AHCT1G00","Y","4,1,2,5,3","X"
"9","9","J1, J2, J3, J5, J6, J7, J8, J10, J11","2P Droit 2-11-2022","EPSA_lib:2P Droit 2-11-2022","EPSA_lib:MOLEX_22-11-2022","","","","","","Molex","10.66mm","","","","","BD8","2P Droit","Manufacturer Recommendations","","22-11-2022","N","","J"
"10","1","J4","3P Droit 22-11-2032","EPSA_lib:3P Droit 22-11-2032","EPSA_lib:MOLEX_22-11-2032","","","","","","Molex","10.66mm","","","","","BD8","3P Droit","Manufacturer recommendations","","22-11-2032","N","","J"
"11","1","J9","2P Droit 2-11-2022",":2P Droit 2-11-2022_1","EPSA_lib:MOLEX_22-11-2022","","","","","","Molex","10.66mm","","","","","BD8","2P Droit","Manufacturer Recommendations","","22-11-2022","N","","J"
"12","1","PS1","Alim HP TSR_2-2450","EPSA_lib:Alim HP TSR_2-2450","EPSA_lib:TSR-2","https://tracopower.com/tsr2-datasheet/","","","2 Amp POL switching regulator, 3.0 to -36 VDC input, pos.-pos. circuit, LM78 compatible, SIP-3","","","","Traco Power","TSR 2-2450","495-TSR2-2450","https://www.mouser.co.uk/ProductDetail/TRACO-Power/TSR-2-2450?qs=NtE2QagKf6RzknAolzm%2FTQ%3D%3D","","Alim HP","","","Alim HP TSR_2-2450","N","","R"
"13","2","Q1, Q3","PMOS SI2343CDS-T1-GE3","EPSA_lib:PMOS SI2343CDS-T1-GE3","EPSA_lib:SOT95P237X112-3N","https://datasheet.datasheetarchive.com/originals/distributors/Datasheets-DGA23/1582493.pdf","SI2343CDS-T1-GE3","https://www.arrow.com/en/products/si2343cds-t1-ge3/vishay","Trans MOSFET P-CH 30V 4.2A 3-Pin Vishay SI2343CDS-T1-GE3 P-channel MOSFET Transistor, 4.7 A, -30 V, 3-Pin TO-236","1.12","","","Vishay","SI2343CDS-T1-GE3","781-SI2343CDS-T1-GE3","https://www.mouser.co.uk/ProductDetail/Vishay-Semiconductors/SI2343CDS-T1-GE3?qs=WX95TUc1y56rXCTRPp%252BkZQ%3D%3D","","PMOS","","${EPSA}\SpiceModel\PMOS_si2343cds_ps Rev B.lib","Si2343CDS","Y","3,1,2","X"
"14","2","Q2, Q4","NMOS SQ2348ES-T1_GE3","EPSA_lib:NMOS SQ2348ES-T1_GE3","EPSA_lib:SOT95P237X112-3N","http://www.vishay.com/docs/63706/sq2348es.pdf","SQ2348ES-T1_GE3","https://www.arrow.com/en/products/sq2348es-t1-ge3/vishay?region=nac","VISHAY - SQ2348ES-T1_GE3 - MOSFET, AEC-Q101, N-CH, 30V, SOT-23","1.12","","","Vishay","SQ2348ES-T1_GE3","781-SQ2348ES-T1_GE3","https://www.mouser.co.uk/ProductDetail/Vishay-Siliconix/SQ2348ES-T1_GE3?qs=jHkklCh7amgC88blremf%252Bw%3D%3D","","NMOS","","${EPSA}\SpiceModel\NMOS_SQ2348ES_PS Rev A.LIB","SQ2348ES","Y","3,1,2","X"
"15","22","R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22","Résistance RK73H2BLTDD2152F","EPSA_lib:Résistance RK73H2BLTDD2152F","EPSA_lib:RESC3216X70N","http://www.koaspeer.com/catimages/Products/RK73H/RK73H.pdf","","","Thick Film Resistors - SMD","0.7","","","KOA Speer","RK73H2BLTDD2152F","N/A","https://www.mouser.co.uk/ProductDetail/KOA-Speer/RK73H2BLTDD2152F?qs=WeIALVmW3zmyxMFsjVzMRw%3D%3D","","Résistance","","","100k","Y","","R"
"16","1","R23","Résistance RK73H2BLTDD2152F",":Résistance RK73H2BLTDD2152F_1","EPSA_lib:RESC3216X70N","http://www.koaspeer.com/catimages/Products/RK73H/RK73H.pdf","","","Thick Film Resistors - SMD","0.7","","","KOA Speer","RK73H2BLTDD2152F","N/A","https://www.mouser.co.uk/ProductDetail/KOA-Speer/RK73H2BLTDD2152F?qs=WeIALVmW3zmyxMFsjVzMRw%3D%3D","","Résistance","","","2k","Y","","R"
"17","1","R24","Résistance RK73H2BLTDD2152F",":Résistance RK73H2BLTDD2152F_2","EPSA_lib:RESC3216X70N","http://www.koaspeer.com/catimages/Products/RK73H/RK73H.pdf","","","Thick Film Resistors - SMD","0.7","","","KOA Speer","RK73H2BLTDD2152F","N/A","https://www.mouser.co.uk/ProductDetail/KOA-Speer/RK73H2BLTDD2152F?qs=WeIALVmW3zmyxMFsjVzMRw%3D%3D","","Résistance","","","200k","Y","","R"
"18","1","RV1","Varystor 3296Y-1-223LF","EPSA_lib:Varystor 3296Y-1-223LF","EPSA_lib:3296Y1223LF","https://www.bourns.com/docs/Product-Datasheets/3296.pdf","3296Y-1-223LF","https://www.arrow.com/en/products/3296y-1-223lf/bourns","Bourns 3296Y Series 25-Turn Through Hole Cermet Trimmer Resistor with Solder Pin Terminations, 22k +/-10% 0.5W +/-100ppm/C","11.8","","","Bourns","3296Y-1-223LF","652-3296Y-1-223LF","https://www.mouser.co.uk/ProductDetail/Bourns/3296Y-1-223LF?qs=RUdTbCszRyG%2Fz0rQkQfbLg%3D%3D","","Varystor","","${EPSA}\SpiceModel\VARYSTOR.lib","VARYSTOR Rtot=20k Part=0.78","Y","","X"
"19","1","TI1","Timer 555 LM555CMX_NOPB","EPSA_lib:Timer 555 LM555CMX_NOPB","EPSA_lib:SOIC127P600X175-8N","http://www.ti.com/lit/ds/symlink/lm555.pdf","LM555CMX/NOPB","https://www.arrow.com/en/products/lm555cmxnopb/texas-instruments?region=nac","Highly stable 555 timer for generating accurate time delays and oscillation","1.75","","","Texas Instruments","LM555CMX/NOPB","926-LM555CMX/NOPB","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/LM555CMX-NOPB?qs=QbsRYf82W3GHnQuoL%2FmIoA%3D%3D","","Timer","","${EPSA}\SpiceModel\555_TLC555.lib","TLC555","Y","6,5,2,4,3,7,8,1","X"
